150 1.000000000000000000e+00 1.000000000000000000e+00
121 1 -2.285191298707226482e-01 7.546041758782123798e-01
122 1 2.086701693869551788e-01 1.143178392892156392e+00
123 1 -1.206561241112038552e-01 6.225208161743498447e-01
124 1 -6.877665256577811803e-01 -1.624050933545561348e-01
125 1 8.898962996243533485e-01 -1.591819383546635214e+00
126 1 -9.177823436446065630e-02 -6.350010913918574529e-01
127 1 5.539617190403566260e-01 1.894403666373781214e-02
128 1 -1.877232791973892922e-01 5.866924029545709240e-01
129 1 4.700056484022396841e-01 2.422223799335615491e-01
130 1 7.205287924430842095e-01 9.564653030076342155e-02
131 1 4.122788409912375718e-01 -1.348636428042051527e-01
132 1 8.402337066735606763e-01 -1.082534862074814530e+00
133 1 1.002566861780973539e-01 -2.156407692369891327e-01
134 1 5.994867685797251600e-01 2.855641334228000705e-01
135 1 -6.183089080654633474e-01 1.488063799113116925e+00
136 1 1.162784493262891961e-01 7.074432819208457124e-01
